"","ID","User","Date","Likes","RTs","Ashley.Johnson","Brian.W..Foster","Critical.Role","Laura.Bailey","Liam.O.Brien","Marisha.Ray","Matthew.Mercer","Sam.Riegel","Talisen.Jaffe","Talks.Machina","Travis.Willingham","FAotW"
"48","1087558061617643520","DeMarcoDraws","2019-01-22",57,7,0,0,0,0,0,0,0,0,0,0,0,FALSE
"49","1087554283963215873","Ithi_Creative","2019-01-22",9,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
"50","1087550196811104257","Spectralsoups","2019-01-22",64,17,0,0,0,0,0,0,0,0,0,0,0,FALSE
"51","1087548624685449218","hazardleveI","2019-01-22",23,8,0,0,0,0,0,0,0,0,0,0,0,FALSE
"52","1087548087252500480","goingproper","2019-01-22",20,4,0,0,0,0,0,0,0,0,0,0,0,FALSE
"53","1087546492020088832","Alex_The_DM","2019-01-22",41,6,0,0,0,0,0,0,0,0,0,0,0,FALSE
"54","1087545578253369344","AFionaDean","2019-01-22",8,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
"55","1087542147996254208","ABright002","2019-01-22",16,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
"56","1087522260422979585","ArellasMercy","2019-01-22",10,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"57","1087520800188575744","elluzant","2019-01-22",1041,157,0,0,0,0,0,0,0,0,0,0,0,FALSE
"58","1087517375057018880","Misheru_Hime","2019-01-22",12,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"59","1087514915609309184","cherry0reos","2019-01-22",9,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"60","1087512621836754945","quortknee","2019-01-22",626,135,0,0,0,0,0,0,0,0,0,0,0,FALSE
"61","1087510384574189568","bluecollarbone1","2019-01-22",27,12,0,0,0,0,0,0,0,0,0,0,0,FALSE
"62","1087500438838988800","regina_draws","2019-01-22",95,15,0,0,0,0,0,0,0,0,0,0,0,FALSE
"63","1088138871479717888","HariinaR","2019-01-22",2,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
"65","1088134145203683337","tinabongorno","2019-01-22",41,18,0,0,0,0,0,0,0,0,0,0,0,FALSE
