"","ID","User","Date","Likes","RTs","Ashley.Johnson","Brian.W..Foster","Critical.Role","Laura.Bailey","Liam.O.Brien","Marisha.Ray","Matthew.Mercer","Sam.Riegel","Talisen.Jaffe","Talks.Machina","Travis.Willingham","FAotW"
"48","1056411589300158466","mollygob",2018-10-29,13,6,0,0,0,0,0,0,0,0,0,0,0,FALSE
"49","1056401420805701632","prettybent",2018-10-29,43,10,0,0,0,0,0,0,0,0,0,0,0,FALSE
"50","1056361707155701760","EliteOne60",2018-10-29,9,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"51","1057125255867596800","CarolJoyBAM",2018-10-29,18,6,0,0,0,0,0,0,0,0,0,0,0,FALSE
"52","1057123370087649280","thesweetlamb",2018-10-29,2,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"53","1057121375176060928","croviidae",2018-10-29,7,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
"54","1057095836126101504","pawthorn",2018-10-29,7,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
"55","1057093871694417920","christinalynee",2018-10-29,11,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"56","1057074972370198528","lysswhit",2018-10-29,10,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"57","1057074532522082304","VencelKang",2018-10-29,6,5,0,0,0,0,0,0,0,0,0,0,0,FALSE
"58","1057067669663506432","duskingcos",2018-10-29,28,8,0,0,0,0,0,0,0,0,0,0,0,FALSE
"59","1057066038616121344","shiningbindx",2018-10-29,9,5,0,0,0,0,0,0,0,0,0,0,0,FALSE
"60","1057062780166176768","2impostors",2018-10-29,481,89,0,0,0,0,0,0,0,0,0,0,0,FALSE
"61","1057062435809423360","frecklemcmurray",2018-10-29,49,11,0,0,0,0,0,0,0,0,0,0,0,FALSE
"62","1057033117536477184","EviEnchantress",2018-10-29,34,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"63","1057030261991526400","AvivOr",2018-10-29,202,42,0,0,0,0,0,0,0,0,0,0,0,FALSE
"64","1057029706531459072","eldritchsmite1",2018-10-29,21,7,0,0,0,0,0,0,0,0,0,0,0,FALSE
"65","1057023329792675842","theghostfire",2018-10-29,68,13,0,0,0,0,0,0,0,0,0,0,0,FALSE
"66","1057020165483831297","eisschirmchen",2018-10-29,74,12,0,0,0,0,0,0,0,0,0,0,0,FALSE
"67","1057014756572188672","deerlordhunter",2018-10-29,1746,527,0,0,0,0,0,0,0,0,0,0,0,FALSE
"68","1057014688834174976","MonicaM_art",2018-10-29,28,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"69","1057008024508755968","Zoro4Me3",2018-10-29,16,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"70","1057004773050851334","penchan_cosplay",2018-10-29,5,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
"71","1056986056141271040","Asamethistaken",2018-10-29,100,26,0,0,0,0,0,0,0,0,0,0,0,FALSE
"72","1056972220738822144","klaineka",2018-10-29,24,7,0,0,0,0,0,0,0,0,0,0,0,FALSE
"73","1056964023697203200","estevao_pb",2018-10-29,391,60,0,0,0,0,0,0,0,0,0,0,0,FALSE
"74","1056931659105349634","StolenByFerrets",2018-10-29,4,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"75","1056923768398979072","skauing",2018-10-29,18,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"76","1056913502785269760","luminyary",2018-10-29,17,7,0,0,0,0,0,0,0,0,0,0,0,FALSE
"77","1056910698356334592","feywildfolio",2018-10-29,18,4,0,0,0,0,0,0,0,0,0,0,0,FALSE
"78","1056905920368787457","SaradoraArt",2018-10-29,19,6,0,0,0,0,0,0,0,0,0,0,0,FALSE
"79","1056898749119651840","Dodouxie",2018-10-29,25,5,0,0,0,0,0,0,0,0,0,0,0,FALSE
"80","1056897958590013440","hla_rosa",2018-10-29,523,104,0,0,0,0,0,0,0,0,0,0,0,FALSE
"81","1056881096980393985","Jesuisunelegume",2018-10-29,37,4,0,0,0,0,0,0,0,0,0,0,0,FALSE
"82","1056865386572828672","Caeodos1",2018-10-29,25,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
"83","1056860206670393345","Rabdoidal",2018-10-29,112,17,0,0,0,0,0,0,0,0,0,0,0,FALSE
"84","1056856415539625985","entnoot",2018-10-29,28,11,0,0,0,0,0,0,0,0,0,0,0,FALSE
"85","1056850900910858240","drunken_pilot",2018-10-29,323,16,0,0,0,0,0,0,0,0,0,0,0,FALSE
"86","1056787413886849024","anthea_wright",2018-10-29,39,8,0,0,0,0,0,0,0,0,0,0,0,FALSE
"87","1056758618530279424","pumpkinpastas",2018-10-29,113,30,0,0,0,0,0,0,0,0,0,0,0,FALSE
"88","1056752735486234624","Becca_Riverbird",2018-10-29,347,74,0,0,0,0,0,0,0,0,0,0,0,FALSE
"89","1056737143857516545","ambikyu",2018-10-29,45,5,0,0,0,0,0,0,0,0,0,0,0,FALSE
"90","1056735159066587137","Paula14477246",2018-10-29,43,9,0,0,0,0,0,0,0,0,0,0,0,FALSE
"91","1056725068796096512","josiahsdoodles",2018-10-29,6,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
